feature,importance
Private,0.110980175
economic_quintile_5th Quintile (Richest),0.0450636
INJURIES,0.025669917
CANCERS,0.024157804
Charity,0.022782689
GENITO,0.021483311
state_Bihar,0.020407224
CARDIO_VASCULAR,0.019943785
HH_size_≤4 members,0.019654287
PSYCHIATRIC,0.019288575
economic_quintile_4th Quintile,0.017477538
state_Manipur,0.017109528
state_Jammu & Kashmir,0.016947249
ENDOCRINE,0.016777964
MUSCULO,0.016441688
economic_quintile_2nd Quintile,0.016411321
state_Tripura,0.01633359
SYMPTOM_UNKNOWN,0.015787581
state_Arunachal Pradesh,0.0156172365
state_Uttar Pradesh,0.015378821
INFECTION,0.015337349
GASTRO,0.0149705745
state_Maharashtra,0.01407141
KIDNEY_FAILURE,0.014061823
SKIN,0.013813825
state_Karnataka,0.0135990055
RESPIRATORY,0.013592864
state_Kerala,0.013033407
state_Nagaland,0.012900137
OBSTETRIC,0.012442506
Religion_Other,0.012089776
Govt,0.012053002
BLOOD_DISEASES,0.011854476
state_Jharkhand,0.011799822
economic_quintile_3rd Quintile,0.011665349
state_Madhya Pradesh,0.011245168
EAR,0.011170193
state_Rajasthan,0.010417327
state_Telangana,0.010191957
EYE,0.009887619
social_group_SC,0.009803475
state_Gujarat,0.009649011
state_West Bengal,0.009476951
state_Punjab,0.009341429
state_Mizoram,0.0091475565
Mejor_source_of_income_Regular Wage,0.009081205
Religion_Islam,0.00877594
state_Odisha,0.008700691
age_of_household_base60_Below 60,0.008578827
state_Chhattisgarh,0.008529535
state_Assam,0.008311967
state_Uttarakhand,0.008248166
social_group_ST,0.008230727
state_Andhra Pradesh,0.008109951
state_Tamil Nadu,0.007641215
female_ratio,0.007599688
state_Haryana,0.007586682
state_Sikkim,0.0075124525
HH_education_Below Secondary,0.0074514197
state_Himachal Pradesh,0.007450262
Mejor_source_of_income_Other,0.0073379735
max_education,0.0072706686
Gender_Male,0.0071744206
HH_education_Graduation & above,0.0070572845
sector_Urban,0.006915596
Mejor_source_of_income_Self-employed,0.0067272964
insurance_cover_1,0.0066913934
social_group_nan,0.0064227367
NO_SYMPTOM_INFO,0.005560091
state_Daman & Diu,0.0051421206
state_Goa,0.005107715
state_Delhi,0.0041450253
state_Puducherry,0.003795871
state_Meghalaya,0.0030506412
state_Lakshadweep,0.002858235
state_Chandigarh,0.0016042836
Gender_Transgender,0.0
state_Ladakh,0.0
state_Unknown,0.0
CHILDBIRTH,0.0
